Country,decade,quintile,Average
Albania,2000s,,0.036615472
Albania,2000s,Q1 (Poorest),0.015606596
Albania,2000s,Q2,0.016292598
Albania,2000s,Q3,0.034128707
Albania,2000s,Q4,0.012605326
Albania,2000s,Q5 (Richest),0.005059281
Armenia,2000s,,0.11018942
Armenia,2000s,Q1 (Poorest),0.13488556
Armenia,2000s,Q2,0.095954835
Armenia,2000s,Q3,0.06594215
Armenia,2000s,Q4,0.06851466
Armenia,2000s,Q5 (Richest),0.040045492
Armenia,2010s,Q1 (Poorest),0.042961013
Armenia,2010s,Q2,0.02632541
Armenia,2010s,Q3,0.020065622
Armenia,2010s,Q4,0.017321607
Armenia,2010s,Q5 (Richest),0.010375813
Azerbaijan,2000s,,0.17776081
Azerbaijan,2000s,Q1 (Poorest),0.05110731
Azerbaijan,2000s,Q2,0.046819784
Azerbaijan,2000s,Q3,0.028983677
Azerbaijan,2000s,Q4,0.02135188
Azerbaijan,2000s,Q5 (Richest),0.013377082
Benin,1990s,,0.22732463
Benin,1990s,Q1 (Poorest),0.15949596
Benin,1990s,Q2,0.14346062
Benin,1990s,Q3,0.13068378
Benin,1990s,Q4,0.09243906
Benin,1990s,Q5 (Richest),0.0330997
Benin,2000s,,0.46854082
Benin,2000s,Q1 (Poorest),0.288379
Benin,2000s,Q2,0.2573373
Benin,2000s,Q3,0.2513348
Benin,2000s,Q4,0.17098653
Benin,2000s,Q5 (Richest),0.0670569
Bolivia (Plurinational State of),1990s,,0.7867611
Bolivia (Plurinational State of),1990s,Q1 (Poorest),0.2676274
Bolivia (Plurinational State of),1990s,Q2,0.22972564
Bolivia (Plurinational State of),1990s,Q3,0.17878984
Bolivia (Plurinational State of),1990s,Q4,0.13677208
Bolivia (Plurinational State of),1990s,Q5 (Richest),0.062769376
Bolivia (Plurinational State of),2000s,,0.94677156
Bolivia (Plurinational State of),2000s,Q1 (Poorest),0.2966968
Bolivia (Plurinational State of),2000s,Q2,0.23855796
Bolivia (Plurinational State of),2000s,Q3,0.17878984
Bolivia (Plurinational State of),2000s,Q4,0.12528151
Bolivia (Plurinational State of),2000s,Q5 (Richest),0.060111117
Brazil,1990s,,0.4886065
Brazil,1990s,Q1 (Poorest),0.14371787
Brazil,1990s,Q2,0.090981305
Brazil,1990s,Q3,0.066799656
Brazil,1990s,Q4,0.053508326
Brazil,1990s,Q5 (Richest),0.028983677
Burkina Faso,1990s,,0.27302966
Burkina Faso,1990s,Q1 (Poorest),0.14371787
Burkina Faso,1990s,Q2,0.13437107
Burkina Faso,1990s,Q3,0.13668633
Burkina Faso,1990s,Q4,0.14423238
Burkina Faso,1990s,Q5 (Richest),0.076403715
Burkina Faso,2000s,,0.24756177
Burkina Faso,2000s,Q1 (Poorest),0.14431813
Burkina Faso,2000s,Q2,0.14388937
Burkina Faso,2000s,Q3,0.13197005
Burkina Faso,2000s,Q4,0.122709006
Burkina Faso,2000s,Q5 (Richest),0.055995096
Cambodia,2000s,,0.36572596
Cambodia,2000s,Q1 (Poorest),0.12468125
Cambodia,2000s,Q2,0.104186885
Cambodia,2000s,Q3,0.09681233
Cambodia,2000s,Q4,0.09518308
Cambodia,2000s,Q5 (Richest),0.048449043
Cambodia,2010s,,0.21188952
Cambodia,2010s,Q1 (Poorest),0.07160168
Cambodia,2010s,Q2,0.051450312
Cambodia,2010s,Q3,0.04261801
Cambodia,2010s,Q4,0.036358222
Cambodia,2010s,Q5 (Richest),0.019979872
Cameroon,1990s,,0.55935067
Cameroon,1990s,Q1 (Poorest),0.17921859
Cameroon,1990s,Q2,0.17021479
Cameroon,1990s,Q3,0.14243162
Cameroon,1990s,Q4,0.09381107
Cameroon,1990s,Q5 (Richest),0.055223335
Cameroon,2000s,,0.42403632
Cameroon,2000s,Q1 (Poorest),0.18119085
Cameroon,2000s,Q2,0.1651555
Cameroon,2000s,Q3,0.14114536
Cameroon,2000s,Q4,0.09938485
Cameroon,2000s,Q5 (Richest),0.06045412
Central African Republic,1990s,,0.39591014
Central African Republic,1990s,Q1 (Poorest),0.15074942
Central African Republic,1990s,Q2,0.13179855
Central African Republic,1990s,Q3,0.12982628
Central African Republic,1990s,Q4,0.15323618
Central African Republic,1990s,Q5 (Richest),0.11902172
Chad,1990s,,0.59159285
Chad,1990s,Q1 (Poorest),0.16927153
Chad,1990s,Q2,0.1566662
Chad,1990s,Q3,0.15778096
Chad,1990s,Q4,0.1790471
Chad,1990s,Q5 (Richest),0.17510256
Chad,2000s,,0.56089413
Chad,2000s,Q1 (Poorest),0.13694358
Chad,2000s,Q2,0.18487813
Chad,2000s,Q3,0.1970547
Chad,2000s,Q4,0.1724443
Chad,2000s,Q5 (Richest),0.13771534
Colombia,1990s,,0.36606893
Colombia,1990s,Q1 (Poorest),0.15906721
Colombia,1990s,Q2,0.10272913
Colombia,1990s,Q3,0.07606071
Colombia,1990s,Q4,0.057024095
Colombia,1990s,Q5 (Richest),0.028297672
Colombia,2000s,,0.962378
Colombia,2000s,Q1 (Poorest),0.27980393
Colombia,2000s,Q2,0.21557681
Colombia,2000s,Q3,0.16009623
Colombia,2000s,Q4,0.09501158
Colombia,2000s,Q5 (Richest),0.0575386
Colombia,2010s,,0.47317138
Colombia,2010s,Q1 (Poorest),0.12579602
Colombia,2010s,Q2,0.09938485
Colombia,2010s,Q3,0.068600416
Colombia,2010s,Q4,0.050335556
Colombia,2010s,Q5 (Richest),0.026668413
Comoros,1990s,,0.16043922
Comoros,1990s,Q1 (Poorest),0.06765716
Comoros,1990s,Q2,0.09295356
Comoros,1990s,Q3,0.068686165
Comoros,1990s,Q4,0.040216994
Comoros,1990s,Q5 (Richest),0.023495642
Congo,2000s,,0.48397598
Congo,2000s,Q1 (Poorest),0.16026773
Congo,2000s,Q2,0.13797258
Congo,2000s,Q3,0.13479982
Congo,2000s,Q4,0.08746553
Congo,2000s,Q5 (Richest),0.05470883
Côte dIvoire,1990s,,0.7275932
Côte dIvoire,1990s,Q1 (Poorest),0.36135268
Côte dIvoire,1990s,Q2,0.29986957
Côte dIvoire,1990s,Q3,0.27980393
Côte dIvoire,1990s,Q4,0.23049739
Côte dIvoire,1990s,Q5 (Richest),0.12013649
Democratic Republic of the Congo,2000s,,0.35612193
Democratic Republic of the Congo,2000s,Q1 (Poorest),0.13342781
Democratic Republic of the Congo,2000s,Q2,0.13642909
Democratic Republic of the Congo,2000s,Q3,0.1239095
Democratic Republic of the Congo,2000s,Q4,0.12442402
Democratic Republic of the Congo,2000s,Q5 (Richest),0.045619275
Dominican Republic,1990s,,0.80339664
Dominican Republic,1990s,Q1 (Poorest),0.35140562
Dominican Republic,1990s,Q2,0.25965255
Dominican Republic,1990s,Q3,0.19662595
Dominican Republic,1990s,Q4,0.11816422
Dominican Republic,1990s,Q5 (Richest),0.063112386
Dominican Republic,2000s,,0.8442996
Dominican Republic,2000s,Q1 (Poorest),0.3325405
Dominican Republic,2000s,Q2,0.25630832
Dominican Republic,2000s,Q3,0.19079491
Dominican Republic,2000s,Q4,0.12888303
Dominican Republic,2000s,Q5 (Richest),0.06405564
Ethiopia,2000s,,0.6493029
Ethiopia,2000s,Q1 (Poorest),0.20477223
Ethiopia,2000s,Q2,0.21849233
Ethiopia,2000s,Q3,0.23427044
Ethiopia,2000s,Q4,0.20228548
Ethiopia,2000s,Q5 (Richest),0.10984643
Ethiopia,2010s,,0.23126917
Ethiopia,2010s,Q1 (Poorest),0.100928366
Ethiopia,2010s,Q2,0.10547314
Ethiopia,2010s,Q3,0.08523602
Ethiopia,2010s,Q4,0.05290807
Ethiopia,2010s,Q5 (Richest),0.02838342
Gabon,2000s,,0.4192343
Gabon,2000s,Q1 (Poorest),0.17956159
Gabon,2000s,Q2,0.16095373
Gabon,2000s,Q3,0.12811127
Gabon,2000s,Q4,0.114305444
Gabon,2000s,Q5 (Richest),0.068600416
Ghana,1990s,,0.668854
Ghana,1990s,Q1 (Poorest),0.24164495
Ghana,1990s,Q2,0.22638138
Ghana,1990s,Q3,0.21934983
Ghana,1990s,Q4,0.17587432
Ghana,1990s,Q5 (Richest),0.07760422
Ghana,2000s,,0.51321685
Ghana,2000s,Q1 (Poorest),0.21866383
Ghana,2000s,Q2,0.17441656
Ghana,2000s,Q3,0.15932447
Ghana,2000s,Q4,0.10272913
Ghana,2000s,Q5 (Richest),0.028897926
Guatemala,1990s,,0.9530313
Guatemala,1990s,Q1 (Poorest),0.33322653
Guatemala,1990s,Q2,0.30278507
Guatemala,1990s,Q3,0.22946839
Guatemala,1990s,Q4,0.19259568
Guatemala,1990s,Q5 (Richest),0.08292075
Guinea,1990s,,0.34334508
Guinea,1990s,Q1 (Poorest),0.17878984
Guinea,1990s,Q2,0.18702188
Guinea,1990s,Q3,0.18479237
Guinea,1990s,Q4,0.1468049
Guinea,1990s,Q5 (Richest),0.0833495
Guinea,2000s,,0.47034162
Guinea,2000s,Q1 (Poorest),0.17913283
Guinea,2000s,Q2,0.17355905
Guinea,2000s,Q3,0.14569013
Guinea,2000s,Q4,0.10718815
Guinea,2000s,Q5 (Richest),0.08429276
Guyana,2000s,,0.30038407
Guyana,2000s,Q1 (Poorest),0.19028041
Guyana,2000s,Q2,0.09586908
Guyana,2000s,Q3,0.08935204
Guyana,2000s,Q4,0.040131245
Guyana,2000s,Q5 (Richest),0.027525915
