Country,HomicideAverage
Afghanistan,1982.5
Albania,116.95237731933594
Algeria,416.25
American Samoa,3.2941176891326904
Andorra,0.4545454680919647
Angola,1136.0
Anguilla,1.7999999523162842
Antigua and Barbuda,8.307692527770996
Argentina,2619.842041015625
Armenia,73.6500015258789
Aruba,4.0
Australia,262.23809814453125
Austria,62.47618865966797
Azerbaijan,211.1999969482422
Bahamas,87.0
Bahrain,6.933333396911621
Bangladesh,3885.052734375
Barbados,27.200000762939453
Belarus,485.625
Belgium,271.0
Belize,105.04762268066406
Bermuda,3.8421051502227783
Bhutan,15.949999809265137
Bolivia (Plurinational State of),667.4000244140625
Bosnia and Herzegovina,60.588233947753906
Botswana,274.3999938964844
Brazil,52025.09375
British Virgin Islands,2.0
Brunei Darussalam,2.4166667461395264
Bulgaria,164.76190185546875
Burkina Faso,118.375
Burundi,545.0
Cabo Verde,40.58333206176758
Cambodia,411.5454406738281
Cameroon,648.4166870117188
Canada,602.5238037109375
Cayman Islands,3.923076868057251
Channel Islands,1.0
Chile,606.0
China,14194.2939453125
China Hong Kong SAR,37.19047546386719
China Macao SAR,3.952380895614624
China Taiwan Province of China,200.0
Colombia,17220.904296875
Cook Islands,0.0
Costa Rica,443.29998779296875
Croatia,57.0476188659668
Cuba,599.25
Curaçao,29.0
Cyprus,12.550000190734863
Czechia,109.5999984741211
Denmark,55.92856979370117
Dominica,9.684210777282715
Dominican Republic,1803.6500244140625
Ecuador,1727.6470947265625
Egypt,1117.199951171875
El Salvador,3756.0
Estonia,68.52941131591797
Eswatini,143.3333282470703
Ethiopia,8153.0
Fiji,21.461538314819336
Finland,109.0
France,911.7999877929688
French Guiana,39.16666793823242
French Polynesia,5.0
Georgia,221.7142791748047
Germany,891.3809814453125
Ghana,468.5294189453125
Gibraltar,0.5
Greece,121.52631378173828
Greenland,8.235294342041016
Grenada,10.300000190734863
Guadeloupe,28.83333396911621
Guam,5.230769157409668
Guatemala,5037.529296875
Guinea-Bissau,42.5
Guyana,135.57142639160156
Haiti,824.272705078125
Holy See,0.0
Honduras,4574.85693359375
Hungary,167.2857208251953
Iceland,2.1578948497772217
India,44905.80859375
Indonesia,1752.6666259765625
Iran (Islamic Republic of),1995.75
Ireland,45.75
Isle of Man,1.5
Israel,142.1999969482422
Italy,525.6842041015625
Jamaica,1256.550048828125
Japan,510.70001220703125
Jordan,130.38461303710938
Kazakhstan,1505.5333251953125
Kenya,1884.0
Kiribati,5.4285712242126465
Kosovo under UNSCR 1244,61.33333206176758
Kuwait,45.5
Kyrgyzstan,394.5789489746094
Latvia,106.66666412353516
Lebanon,194.07691955566406
Lesotho,759.8571166992188
Liberia,149.39999389648438
Liechtenstein,0.3888888955116272
Lithuania,230.64999389648438
Luxembourg,4.476190567016602
Malawi,525.6666870117188
Malaysia,571.1428833007812
Maldives,8.461538314819336
Malta,5.5
Martinique,18.66666603088379
Mauritius,29.363636016845703
Mayotte,14.666666984558105
Mexico,19478.572265625
Micronesia (Federated States of),1.0
Monaco,0.3333333432674408
Mongolia,246.88888549804688
Montenegro,18.799999237060547
Montserrat,0.4444444477558136
Morocco,488.4285583496094
Mozambique,871.6363525390625
Myanmar,956.4705810546875
Namibia,348.6000061035156
Nepal,757.2666625976562
Netherlands,147.25
New Caledonia,9.75
New Zealand,52.578948974609375
Nicaragua,623.5499877929688
Niger,809.5
North Macedonia,38.0
Norway,36.54999923706055
Oman,39.72222137451172
Pakistan,10756.10546875
Palau,1.25
Panama,432.5238037109375
Papua New Guinea,572.5999755859375
Paraguay,801.3809814453125
Peru,2157.5
Philippines,7266.615234375
Poland,406.875
Portugal,109.5
Puerto Rico,820.3157958984375
Qatar,6.461538314819336
Republic of Korea,388.80950927734375
Republic of Moldova,255.3157958984375
Romania,367.80950927734375
Russian Federation,23634.0
Rwanda,294.75
Réunion,20.66666603088379
Saint Helena,0.10000000149011612
Saint Kitts and Nevis,16.882352828979492
Saint Lucia,37.75
Saint Martin (French part),7.0
Saint Pierre and Miquelon,0.5
Saint Vincent and the Grenadines,25.399999618530273
Samoa,11.600000381469727
San Marino,0.0833333358168602
Sao Tome and Principe,6.5
Saudi Arabia,256.3999938964844
Senegal,39.0
Serbia,141.25
Seychelles,10.333333015441895
Sierra Leone,137.5
Singapore,19.200000762939453
Slovakia,84.66666412353516
Slovenia,18.095237731933594
Solomon Islands,22.799999237060547
South Africa,18025.619140625
South Sudan,1504.0
Spain,414.0
Sri Lanka,749.0
State of Palestine,44.0
Suriname,47.75
Sweden,96.38095092773438
Switzerland,54.86666488647461
Syrian Arab Republic,681.0833129882812
Tajikistan,164.6666717529297
Thailand,4497.75
Timor-Leste,41.875
Tonga,3.7857143878936768
Trinidad and Tobago,379.04998779296875
Tunisia,326.29998779296875
Turkey,2720.071533203125
Turkmenistan,229.57142639160156
Turks and Caicos Islands,1.399999976158142
Tuvalu,0.3333333432674408
Uganda,3913.230712890625
Ukraine,3168.28564453125
United Arab Emirates,61.28571319580078
United Kingdom,996.0
United Republic of Tanzania,3589.375
United States Virgin Islands,40.92307662963867
United States of America,16346.77734375
Uruguay,249.63157653808594
Uzbekistan,805.2142944335938
Vanuatu,1.5
Venezuela (Bolivarian Republic of),12977.470703125
Viet Nam,1044.6363525390625
Yemen,1103.75
Zambia,823.3333129882812
Zimbabwe,1247.75
