Country,Sex,Average
Afghanistan,Female,120.0
Afghanistan,Male,2525.75
Albania,Female,19.619047
Albania,Male,97.2381
Algeria,Female,70.5
Algeria,Male,383.66666
Andorra,Female,0.11111111
Andorra,Male,0.3
Anguilla,Female,0.0
Anguilla,Male,1.0
Antigua and Barbuda,Female,1.875
Antigua and Barbuda,Male,7.5
Argentina,Female,400.75
Argentina,Male,2059.0
Armenia,Female,17.380953
Armenia,Male,55.95238
Aruba,Female,0.71428573
Aruba,Male,3.2857144
Australia,Female,91.2381
Australia,Male,170.42857
Austria,Female,32.42857
Austria,Male,29.619047
Azerbaijan,Female,72.1
Azerbaijan,Male,141.0
Bahamas,Female,8.95
Bahamas,Male,76.3
Bahrain,Female,0.8
Bahrain,Male,5.8
Barbados,Female,4.4
Barbados,Male,22.55
Belarus,Female,129.76923
Belarus,Male,239.3077
Belgium,Female,91.13333
Belgium,Male,133.13333
Belize,Female,13.0
Belize,Male,108.0
Bermuda,Female,0.41666666
Bermuda,Male,4.25
Bhutan,Female,3.1666667
Bhutan,Male,8.5
Bolivia (Plurinational State of),Female,217.33333
Bolivia (Plurinational State of),Male,476.66666
Bosnia and Herzegovina,Female,16.071428
Bosnia and Herzegovina,Male,43.214287
Brazil,Female,4220.6665
Brazil,Male,47700.668
British Virgin Islands,Female,0.6
British Virgin Islands,Male,1.4
Brunei Darussalam,Female,2.0
Brunei Darussalam,Male,2.0
Bulgaria,Female,41.142857
Bulgaria,Male,123.38095
Burundi,Female,100.0
Burundi,Male,445.0
Cabo Verde,Female,8.555555
Cabo Verde,Male,37.666668
Cameroon,Female,105.0
Cameroon,Male,147.33333
Canada,Female,163.78947
Canada,Male,433.8
Cayman Islands,Female,0.5833333
Cayman Islands,Male,3.6666667
Chile,Female,91.0
Chile,Male,521.06665
China Hong Kong SAR,Female,16.5
China Hong Kong SAR,Male,17.0
China Macao SAR,Female,1.5
China Macao SAR,Male,1.1818181
Colombia,Female,1300.3334
Colombia,Male,15825.952
Costa Rica,Female,48.95
Costa Rica,Male,381.65
Croatia,Female,23.0
Croatia,Male,33.857143
Cuba,Female,145.29411
Cuba,Male,454.0
Curaçao,Female,4.142857
Curaçao,Male,24.857143
Cyprus,Female,4.117647
Cyprus,Male,9.6470585
Czechia,Female,46.55
Czechia,Male,63.0
Denmark,Female,19.761906
Denmark,Male,33.095238
Dominica,Female,1.2307693
Dominica,Male,9.461538
Dominican Republic,Female,182.28572
Dominican Republic,Male,1700.8572
Ecuador,Female,197.85715
Ecuador,Male,1620.381
Egypt,Female,168.22223
Egypt,Male,1020.55554
El Salvador,Female,419.93332
El Salvador,Male,3434.0
Estonia,Female,17.714285
Estonia,Male,58.38095
Fiji,Female,9.9
Fiji,Male,11.2
Finland,Female,33.7
Finland,Male,76.0
France,Female,300.0
France,Male,549.6
French Guiana,Female,2.5
French Guiana,Male,29.5
Georgia,Female,37.0
Georgia,Male,175.45454
Germany,Female,398.0476
Germany,Male,503.1579
Greece,Female,30.25
Greece,Male,91.1
Grenada,Female,2.4666667
Grenada,Male,8.066667
Guadeloupe,Female,5.8
Guadeloupe,Male,21.6
Guatemala,Female,640.2143
Guatemala,Male,4441.2144
Guyana,Female,27.133333
Guyana,Male,110.13333
Haiti,Female,76.4
Haiti,Male,895.8
Holy See,Female,0.0
Holy See,Male,0.0
Honduras,Female,406.6
Honduras,Male,4582.7334
Hungary,Female,69.09524
Hungary,Male,97.90476
Iceland,Female,0.64285713
Iceland,Male,1.5714285
India,Female,16756.143
India,Male,26782.096
Iran (Islamic Republic of),Female,258.0
Iran (Islamic Republic of),Male,1727.5
Ireland,Female,8.25
Ireland,Male,36.8
Israel,Female,31.1
Israel,Male,112.22222
Italy,Female,155.85
Italy,Male,378.9
Jamaica,Female,143.92308
Jamaica,Male,1236.4286
Japan,Female,259.2
Japan,Male,251.5
Jordan,Female,30.0
Jordan,Male,92.111115
Kazakhstan,Female,283.4
Kazakhstan,Male,946.1111
Kenya,Female,527.3333
Kenya,Male,1657.8334
Kosovo under UNSCR 1244,Female,11.25
Kosovo under UNSCR 1244,Male,50.0
Kuwait,Female,10.7
