country,year,disease,average
Afghanistan,2008,Cancer,0.47078273
Afghanistan,2008,Cardiovascular disease,1.0816714
Afghanistan,2008,Respiratory disease,0.7985187
Albania,2008,Cancer,0.6037519
Albania,2008,Cardiovascular disease,0.36681283
Albania,2008,Respiratory disease,0.11572734
Algeria,2008,Cancer,0.45640767
Algeria,2008,Cardiovascular disease,0.34122124
Algeria,2008,Respiratory disease,0.55549127
Andorra,2008,Cancer,0.45281392
Andorra,2008,Cardiovascular disease,0.1364885
Andorra,2008,Respiratory disease,0.18516375
Angola,2008,Cancer,0.46718895
Angola,2008,Cardiovascular disease,0.78310275
Angola,2008,Respiratory disease,1.2730008
Antigua and Barbuda,2008,Cancer,0.58937687
Antigua and Barbuda,2008,Cardiovascular disease,0.5220685
Antigua and Barbuda,2008,Respiratory disease,0.21988195
Argentina,2008,Cancer,0.5929706
Argentina,2008,Cardiovascular disease,0.28150752
Argentina,2008,Respiratory disease,0.45133665
Armenia,2008,Cancer,0.85890895
Armenia,2008,Cardiovascular disease,0.64490813
Armenia,2008,Respiratory disease,0.39347297
Australia,2008,Cancer,0.44922015
Australia,2008,Cardiovascular disease,0.1108969
Australia,2008,Respiratory disease,0.12730008
Austria,2008,Cancer,0.50312656
Austria,2008,Cardiovascular disease,0.1364885
Austria,2008,Respiratory disease,0.11572734
Azerbaijan,2008,Cancer,0.6756271
Azerbaijan,2008,Cardiovascular disease,0.8342859
Azerbaijan,2008,Respiratory disease,0.33560932
Bahamas,2008,Cancer,0.45281392
Bahamas,2008,Cardiovascular disease,0.3889922
Bahamas,2008,Respiratory disease,0.17359102
Bahrain,2008,Cancer,0.26234457
Bahrain,2008,Cardiovascular disease,0.353164
Bahrain,2008,Respiratory disease,0.23145469
Bangladesh,2008,Cancer,0.6576583
Bangladesh,2008,Cardiovascular disease,0.7182707
Bangladesh,2008,Respiratory disease,1.1225553
Barbados,2008,Cancer,0.50312656
Barbados,2008,Cardiovascular disease,0.28321362
Barbados,2008,Respiratory disease,0.21988195
Belarus,2008,Cancer,0.7115647
Belarus,2008,Cardiovascular disease,0.7609233
Belarus,2008,Respiratory disease,0.3008911
Belgium,2008,Cancer,0.542658
