subRegion,year,sex,average,maximum,minimum
(blank),2001,Female,1.0,3,0
(blank),2001,Male,6.6666665,20,0
(blank),2002,Female,1.0,2,0
(blank),2002,Male,6.1666665,26,0
(blank),2003,Female,1.8571428,6,0
(blank),2003,Male,10.857142,36,0
(blank),2004,Female,1.1666666,3,0
(blank),2004,Male,12.166667,41,0
(blank),2005,Female,2.7142856,10,0
(blank),2005,Male,12.428572,36,0
(blank),2006,Female,2.8333333,7,0
(blank),2006,Male,12.833333,34,0
(blank),2007,Female,2.5,8,0
(blank),2007,Male,12.6,39,0
(blank),2008,Female,2.625,8,0
(blank),2008,Male,15.75,40,0
(blank),2009,Female,4.2222223,25,0
(blank),2009,Male,21.333334,87,0
(blank),2010,Female,3.375,11,0
(blank),2010,Male,19.5,62,0
(blank),2011,Female,6.75,20,0
(blank),2011,Male,34.75,86,0
(blank),2012,Female,3.0,9,0
(blank),2012,Male,24.25,53,0
(blank),2013,Female,3.75,11,1
(blank),2013,Male,33.0,79,0
(blank),2014,Female,1.5,4,0
(blank),2014,Male,11.25,37,0
(blank),2015,Female,4.0,12,0
(blank),2015,Male,15.666667,43,2
(blank),2016,Female,5.0,10,0
(blank),2016,Male,16.0,32,0
(blank),2017,Female,8.0,8,8
(blank),2017,Male,30.0,30,30
(blank),2018,Female,13.0,13,13
(blank),2018,Male,35.0,35,35
(blank),2019,Female,9.0,9,9
(blank),2019,Male,35.0,35,35
(blank),2020,Female,3.0,3,3
(blank),2020,Male,21.0,21,21
Australia and New Zealand,2001,Female,78.0,136,20
Australia and New Zealand,2001,Male,128.0,225,31
Australia and New Zealand,2002,Female,68.5,116,21
Australia and New Zealand,2002,Male,129.5,230,29
Australia and New Zealand,2003,Female,73.5,121,26
Australia and New Zealand,2003,Male,138.5,244,33
Australia and New Zealand,2004,Female,55.0,96,14
Australia and New Zealand,2004,Male,117.0,205,29
Australia and New Zealand,2005,Female,51.5,92,11
Australia and New Zealand,2005,Male,101.5,170,33
Australia and New Zealand,2006,Female,60.0,94,26
Australia and New Zealand,2006,Male,99.0,164,34
Australia and New Zealand,2007,Female,54.5,92,17
Australia and New Zealand,2007,Male,109.5,188,31
Australia and New Zealand,2008,Female,52.0,85,19
Australia and New Zealand,2008,Male,99.0,169,29
Australia and New Zealand,2009,Female,62.0,101,23
Australia and New Zealand,2009,Male,94.0,160,28
Australia and New Zealand,2010,Female,50.5,76,25
Australia and New Zealand,2010,Male,114.0,186,42
Australia and New Zealand,2011,Female,57.5,93,22
Australia and New Zealand,2011,Male,78.5,137,20
Australia and New Zealand,2012,Female,52.5,90,15
Australia and New Zealand,2012,Male,91.0,158,24
Australia and New Zealand,2013,Female,52.0,83,21
Australia and New Zealand,2013,Male,90.0,160,20
Australia and New Zealand,2014,Female,53.0,94,12
Australia and New Zealand,2014,Male,92.5,151,34
Australia and New Zealand,2015,Female,53.5,94,13
Australia and New Zealand,2015,Male,89.0,149,29
Australia and New Zealand,2016,Female,50.0,84,16
Australia and New Zealand,2016,Male,91.5,151,32
Australia and New Zealand,2017,Female,51.0,80,22
Australia and New Zealand,2017,Male,87.5,147,28
Australia and New Zealand,2018,Female,38.0,63,13
Australia and New Zealand,2018,Male,83.0,144,22
Australia and New Zealand,2019,Female,84.0,84,84
Australia and New Zealand,2019,Male,135.0,135,135
Australia and New Zealand,2020,Female,47.5,68,27
Australia and New Zealand,2020,Male,121.0,156,86
Australia and New Zealand,2021,Female,74.0,74,74
Australia and New Zealand,2021,Male,150.0,150,150
Central Asia,2001,Female,76.0,76,76
Central Asia,2001,Male,354.0,354,354
Central Asia,2002,Female,68.0,68,68
Central Asia,2002,Male,318.0,318,318
Central Asia,2003,Female,79.0,79,79
Central Asia,2003,Male,332.0,332,332
Central Asia,2004,Female,94.0,94,94
Central Asia,2004,Male,326.0,326,326
Central Asia,2005,Female,88.0,88,88
Central Asia,2005,Male,330.0,330,330
Central Asia,2006,Female,106.0,106,106
Central Asia,2006,Male,385.0,385,385
Central Asia,2007,Female,64.5,89,40
Central Asia,2007,Male,255.5,357,154
Central Asia,2008,Female,65.0,97,33
Central Asia,2008,Male,208.5,318,99
Central Asia,2009,Female,162.66667,363,38
Central Asia,2009,Male,612.0,1444,62
Central Asia,2010,Female,190.33333,416,24
Central Asia,2010,Male,571.6667,1355,72
Central Asia,2011,Female,183.5,344,23
Central Asia,2011,Male,600.5,1043,158
Central Asia,2012,Female,173.0,329,17
Central Asia,2012,Male,600.0,1091,109
Central Asia,2013,Female,276.0,276,276
Central Asia,2013,Male,990.0,990,990
Central Asia,2014,Female,280.0,280,280
Central Asia,2014,Male,840.0,840,840
Central Asia,2015,Female,204.0,204,204
Central Asia,2016,Female,233.5,251,216
Central Asia,2016,Male,556.0,602,510
Central Asia,2017,Female,258.0,258,258
Central Asia,2017,Male,499.0,499,499
Central Asia,2018,Female,213.0,221,205
Central Asia,2018,Male,540.0,694,386
Central Asia,2019,Female,176.0,176,176
Central Asia,2019,Male,298.0,298,298
Central Asia,2020,Female,138.0,138,138
Central Asia,2020,Male,258.0,258,258
Central Asia,2021,Female,80.0,150,10
Central Asia,2021,Male,271.5,456,87
Eastern Asia,2001,Female,330.0,330,330
Eastern Asia,2001,Male,348.0,348,348
Eastern Asia,2002,Female,315.0,315,315
Eastern Asia,2002,Male,382.0,382,382
Eastern Asia,2003,Female,315.0,315,315
Eastern Asia,2003,Male,347.0,347,347
Eastern Asia,2004,Female,170.0,318,22
Eastern Asia,2004,Male,204.5,379,30
Eastern Asia,2005,Female,176.5,333,20
Eastern Asia,2005,Male,195.5,366,25
Eastern Asia,2006,Female,166.0,319,13
Eastern Asia,2006,Male,172.5,324,21
Eastern Asia,2007,Female,171.0,324,18
Eastern Asia,2007,Male,156.0,295,17
Eastern Asia,2008,Female,119.666664,282,11
Eastern Asia,2008,Male,175.66667,292,7
Eastern Asia,2009,Female,104.0,339,3
Eastern Asia,2009,Male,122.5,315,1
Eastern Asia,2010,Female,85.0,253,3
Eastern Asia,2010,Male,109.25,253,2
Eastern Asia,2011,Female,80.75,237,0
Eastern Asia,2011,Male,104.5,228,2
Eastern Asia,2012,Female,104.6,234,3
Eastern Asia,2012,Male,121.6,208,1
Eastern Asia,2013,Female,105.8,240,1
Eastern Asia,2013,Male,113.0,216,3
Eastern Asia,2014,Female,93.4,191,1
Eastern Asia,2014,Male,104.6,179,0
Eastern Asia,2015,Female,93.4,206,1
Eastern Asia,2015,Male,109.2,189,0
Eastern Asia,2016,Female,95.4,218,1
Eastern Asia,2016,Male,99.6,177,0
Eastern Asia,2017,Female,110.0,197,11
Eastern Asia,2017,Male,98.0,165,1
Eastern Asia,2018,Female,77.6,173,2
Eastern Asia,2018,Male,108.75,147,9
Eastern Asia,2019,Female,79.0,179,1
Eastern Asia,2019,Male,98.2,155,1
Eastern Asia,2020,Female,77.6,181,0
Eastern Asia,2020,Male,90.8,165,2
Eastern Asia,2021,Female,46.25,138,2
Eastern Asia,2021,Male,112.333336,164,13
Eastern Europe,2001,Female,1377.7778,10337,34
Eastern Europe,2001,Male,3978.2222,30753,95
Eastern Europe,2002,Female,1442.4445,10756,33
Eastern Europe,2002,Male,4165.4443,32165,85
Eastern Europe,2003,Female,1428.2222,10716,49
Eastern Europe,2003,Male,4242.222,33536,72
Eastern Europe,2004,Female,1374.0,10305,47
Eastern Europe,2004,Male,3987.3333,31459,90
Eastern Europe,2005,Female,1264.3334,9641,36
Eastern Europe,2005,Male,3716.7778,29615,72
Eastern Europe,2006,Female,1289.0,8849,32
Eastern Europe,2006,Male,3344.3333,26787,61
