country,cause,Average,Maximum,Minimum
Afghanistan,Communicable,713.0,713,713
Afghanistan,Injuries,149.0,149,149
Afghanistan,Noncommunicable,1117.0,1117,1117
Albania,Communicable,46.0,46,46
Albania,Injuries,46.0,46,46
Albania,Noncommunicable,716.0,716,716
Algeria,Communicable,202.0,202,202
Algeria,Injuries,47.0,47,47
Algeria,Noncommunicable,523.0,523,523
Andorra,Communicable,16.0,16,16
Andorra,Injuries,27.0,27,27
Andorra,Noncommunicable,338.0,338,338
Angola,Communicable,819.0,819,819
Angola,Injuries,112.0,112,112
Angola,Noncommunicable,842.0,842,842
Antigua and Barbuda,Communicable,86.0,86,86
Antigua and Barbuda,Injuries,46.0,46,46
Antigua and Barbuda,Noncommunicable,548.0,548,548
Argentina,Communicable,87.0,87,87
Argentina,Injuries,48.0,48,48
Argentina,Noncommunicable,501.0,501,501
Armenia,Communicable,74.0,74,74
Armenia,Injuries,50.0,50,50
Armenia,Noncommunicable,902.0,902,902
Australia,Communicable,18.0,18,18
Australia,Injuries,30.0,30,30
Australia,Noncommunicable,330.0,330,330
Austria,Communicable,14.0,14,14
Austria,Injuries,34.0,34,34
Austria,Noncommunicable,373.0,373,373
Azerbaijan,Communicable,102.0,102,102
Azerbaijan,Injuries,36.0,36,36
Azerbaijan,Noncommunicable,935.0,935,935
Bahamas,Communicable,91.0,91,91
Bahamas,Injuries,54.0,54,54
Bahamas,Noncommunicable,457.0,457,457
Bahrain,Communicable,63.0,63,63
Bahrain,Injuries,33.0,33,33
Bahrain,Noncommunicable,590.0,590,590
Bangladesh,Communicable,344.0,344,344
Bangladesh,Injuries,91.0,91,91
Bangladesh,Noncommunicable,702.0,702,702
Barbados,Communicable,86.0,86,86
Barbados,Injuries,31.0,31,31
Barbados,Noncommunicable,488.0,488,488
Belarus,Communicable,30.0,30,30
Belarus,Injuries,125.0,125,125
Belarus,Noncommunicable,749.0,749,749
Belgium,Communicable,33.0,33,33
Belgium,Injuries,42.0,42,42
Belgium,Noncommunicable,367.0,367,367
Belize,Communicable,119.0,119,119
Belize,Injuries,92.0,92,92
Belize,Noncommunicable,497.0,497,497
Benin,Communicable,618.0,618,618
Benin,Injuries,87.0,87,87
Benin,Noncommunicable,804.0,804,804
Bhutan,Communicable,359.0,359,359
Bhutan,Injuries,105.0,105,105
Bhutan,Noncommunicable,735.0,735,735
Bolivia (Plurinational State of),Communicable,253.0,253,253
Bolivia (Plurinational State of),Injuries,64.0,64,64
Bolivia (Plurinational State of),Noncommunicable,644.0,644,644
Bosnia and Herzegovina,Communicable,22.0,22,22
Bosnia and Herzegovina,Injuries,29.0,29,29
Bosnia and Herzegovina,Noncommunicable,584.0,584,584
Botswana,Communicable,739.0,739,739
Botswana,Injuries,107.0,107,107
Botswana,Noncommunicable,606.0,606,606
Brazil,Communicable,97.0,97,97
Brazil,Injuries,76.0,76,76
Brazil,Noncommunicable,534.0,534,534
Brunei Darussalam,Communicable,55.0,55,55
Brunei Darussalam,Injuries,24.0,24,24
Brunei Darussalam,Noncommunicable,520.0,520,520
Bulgaria,Communicable,31.0,31,31
Bulgaria,Injuries,42.0,42,42
Bulgaria,Noncommunicable,693.0,693,693
Burkina Faso,Communicable,801.0,801,801
Burkina Faso,Injuries,108.0,108,108
Burkina Faso,Noncommunicable,810.0,810,810
Burundi,Communicable,943.0,943,943
Burundi,Injuries,124.0,124,124
Burundi,Noncommunicable,839.0,839,839
Cabo Verde,Communicable,213.0,213,213
Cabo Verde,Injuries,71.0,71,71
Cabo Verde,Noncommunicable,538.0,538,538
Cambodia,Communicable,478.0,478,478
Cambodia,Injuries,65.0,65,65
Cambodia,Noncommunicable,748.0,748,748
Cameroon,Communicable,861.0,861,861
Cameroon,Injuries,111.0,111,111
Cameroon,Noncommunicable,879.0,879,879
Canada,Communicable,23.0,23,23
Canada,Injuries,32.0,32,32
Canada,Noncommunicable,346.0,346,346
Central African Republic,Communicable,1060.0,1060,1060
Central African Republic,Injuries,151.0,151,151
Central African Republic,Noncommunicable,870.0,870,870
Chad,Communicable,1009.0,1009,1009
Chad,Injuries,119.0,119,119
Chad,Noncommunicable,866.0,866,866
Chile,Communicable,43.0,43,43
Chile,Injuries,45.0,45,45
Chile,Noncommunicable,419.0,419,419
China,Communicable,58.0,58,58
China,Injuries,70.0,70,70
China,Noncommunicable,604.0,604,604
Colombia,Communicable,64.0,64,64
Colombia,Injuries,97.0,97,97
Colombia,Noncommunicable,404.0,404,404
Comoros,Communicable,472.0,472,472
Comoros,Injuries,76.0,76,76
Comoros,Noncommunicable,789.0,789,789
Congo,Communicable,692.0,692,692
Congo,Injuries,140.0,140,140
Congo,Noncommunicable,811.0,811,811
Cook Islands,Communicable,109.0,109,109
Cook Islands,Injuries,31.0,31,31
Cook Islands,Noncommunicable,455.0,455,455
Costa Rica,Communicable,32.0,32,32
Costa Rica,Injuries,56.0,56,56
Costa Rica,Noncommunicable,409.0,409,409
Croatia,Communicable,20.0,20,20
Croatia,Injuries,48.0,48,48
Croatia,Noncommunicable,560.0,560,560
Cuba,Communicable,47.0,47,47
Cuba,Injuries,48.0,48,48
Cuba,Noncommunicable,468.0,468,468
Cyprus,Communicable,17.0,17,17
Cyprus,Injuries,31.0,31,31
Cyprus,Noncommunicable,371.0,371,371
Czech Republic,Communicable,25.0,25,25
Czech Republic,Injuries,43.0,43,43
Czech Republic,Noncommunicable,496.0,496,496
Côte dIvoire,Communicable,904.0,904,904
Côte dIvoire,Injuries,172.0,172,172
Côte dIvoire,Noncommunicable,942.0,942,942
Democratic People's Republic of Korea,Communicable,264.0,264,264
Democratic People's Republic of Korea,Injuries,46.0,46,46
Democratic People's Republic of Korea,Noncommunicable,548.0,548,548
Democratic Republic of the Congo,Communicable,932.0,932,932
Democratic Republic of the Congo,Injuries,155.0,155,155
Democratic Republic of the Congo,Noncommunicable,837.0,837,837
Denmark,Communicable,27.0,27,27
Denmark,Injuries,33.0,33,33
Denmark,Noncommunicable,440.0,440,440
Djibouti,Communicable,470.0,470,470
Djibouti,Injuries,80.0,80,80
Djibouti,Noncommunicable,809.0,809,809
Dominica,Communicable,78.0,78,78
Dominica,Injuries,33.0,33,33
Dominica,Noncommunicable,632.0,632,632
Dominican Republic,Communicable,147.0,147,147
Dominican Republic,Injuries,68.0,68,68
Dominican Republic,Noncommunicable,573.0,573,573
Ecuador,Communicable,105.0,105,105
Ecuador,Injuries,81.0,81,81
Ecuador,Noncommunicable,400.0,400,400
Egypt,Communicable,76.0,76,76
Egypt,Injuries,34.0,34,34
Egypt,Noncommunicable,749.0,749,749
El Salvador,Communicable,127.0,127,127
El Salvador,Injuries,121.0,121,121
El Salvador,Noncommunicable,523.0,523,523
Equatorial Guinea,Communicable,720.0,720,720
Equatorial Guinea,Injuries,117.0,117,117
Equatorial Guinea,Noncommunicable,854.0,854,854
Eritrea,Communicable,303.0,303,303
Eritrea,Injuries,92.0,92,92
Eritrea,Noncommunicable,670.0,670,670
Estonia,Communicable,21.0,21,21
Estonia,Injuries,84.0,84,84
Estonia,Noncommunicable,585.0,585,585
Ethiopia,Communicable,721.0,721,721
