subRegion,Year,Average,Maximum,Minimum
Australia and New Zealand,2000,207.0,362,52
Australia and New Zealand,2001,199.0,347,51
Australia and New Zealand,2002,213.0,366,60
Australia and New Zealand,2003,173.0,302,44
Australia and New Zealand,2004,154.0,263,45
Australia and New Zealand,2005,160.0,259,61
Australia and New Zealand,2006,165.0,281,49
Australia and New Zealand,2007,151.5,255,48
Australia and New Zealand,2008,156.0,261,51
Australia and New Zealand,2009,165.0,263,67
Australia and New Zealand,2010,137.0,231,43
Australia and New Zealand,2011,143.5,248,39
Australia and New Zealand,2012,142.0,243,41
Australia and New Zealand,2013,145.5,245,46
Australia and New Zealand,2014,143.0,243,43
Australia and New Zealand,2015,142.0,236,48
Australia and New Zealand,2016,138.5,227,50
Australia and New Zealand,2017,121.5,208,35
Australia and New Zealand,2018,221.0,221,221
Australia and New Zealand,2019,175.5,225,126
Australia and New Zealand,2020,221.0,221,221
Central Asia,2000,874.6,2325,267
Central Asia,2001,821.6,2160,233
Central Asia,2002,771.4,1967,180
Central Asia,2003,754.2,1991,164
Central Asia,2004,764.6,2091,142
Central Asia,2005,441.0,910,157
Central Asia,2006,426.0,861,194
Central Asia,2007,454.33334,815,132
Central Asia,2008,1018.3333,1807,417
Central Asia,2009,762.3333,1771,97
Central Asia,2010,825.6667,1387,181
Central Asia,2011,671.0,1420,126
Central Asia,2012,823.0,1266,380
Central Asia,2013,710.5,1120,301
Central Asia,2014,612.0,904,320
Central Asia,2015,554.6667,853,305
Central Asia,2016,469.5,757,182
Central Asia,2017,582.0,915,240
Central Asia,2018,306.0,474,138
Central Asia,2019,396.0,396,396
Central Asia,2020,346.5,606,87
Eastern Asia,2000,275.0,678,10
Eastern Asia,2001,296.8,697,8
Eastern Asia,2002,5475.8,26276,2
Eastern Asia,2003,4313.1665,24393,8
Eastern Asia,2004,4368.5,24711,4
Eastern Asia,2005,3710.0,20770,4
Eastern Asia,2006,2802.2856,17973,10
Eastern Asia,2007,2516.8572,16119,6
Eastern Asia,2008,2333.8572,14811,4
Eastern Asia,2009,2308.1428,14667,5
Eastern Asia,2010,2116.2856,13410,2
Eastern Asia,2011,2191.1667,12015,4
Eastern Asia,2012,1794.1428,11286,4
Eastern Asia,2013,1685.4286,10640,1
Eastern Asia,2014,1849.3334,10083,1
Eastern Asia,2015,166.71428,375,0
Eastern Asia,2016,1594.1666,8634,1
Eastern Asia,2017,1469.0,7990,2
Eastern Asia,2018,1402.3334,7525,2
Eastern Asia,2019,169.4,319,2
Eastern Asia,2020,132.0,308,2
Eastern Europe,2000,4922.2,41090,129
Eastern Europe,2001,5144.5,42921,118
Eastern Europe,2002,5202.8,44252,121
Eastern Europe,2003,5949.375,41764,137
Eastern Europe,2004,5525.25,39256,108
Eastern Europe,2005,4994.875,35636,93
Eastern Europe,2006,4124.125,28844,82
Eastern Europe,2007,3311.889,25377,82
Eastern Europe,2008,2262.3,18188,86
Eastern Europe,2009,2173.8,17659,78
Eastern Europe,2010,2046.5,16690,82
Eastern Europe,2011,1981.8889,16175,86
Eastern Europe,2012,2020.6,16247,63
Eastern Europe,2013,1949.1111,16033,71
Eastern Europe,2014,2087.8,16516,65
Eastern Europe,2015,2030.7778,16646,44
Eastern Europe,2016,2142.5,15864,57
Eastern Europe,2017,1745.2,13293,66
Eastern Europe,2018,1640.375,11964,62
