Country,decade,Average
Afghanistan,2010s,16.2
Albania,2010s,32.56
Algeria,2010s,26.62
Angola,2010s,16.18
Antigua and Barbuda,2010s,30.26
Argentina,2010s,30.83
Armenia,2010s,32.3
Australia,2010s,37.08
Austria,2010s,42.4
Azerbaijan,2010s,29.34
Bahamas,2010s,31.54
Bahrain,2010s,30.07
Bangladesh,2010s,24.7
Barbados,2010s,36.68
Belarus,2010s,39.15
Belgium,2010s,41.41
Belize,2010s,22.69
Benin,2010s,18.3
Bhutan,2010s,25.29
Bolivia (Plurinational State of),2010s,22.14
Bosnia and Herzegovina,2010s,39.23
Botswana,2010s,22.33
Brazil,2010s,29.89
Brunei Darussalam,2010s,30.14
Bulgaria,2010s,42.84
Burkina Faso,2010s,17.01
Burundi,2010s,17.64
Cabo Verde,2010s,23.71
Cambodia,2010s,24.1
Cameroon,2010s,18.18
Canada,2010s,39.99
Central African Republic,2010s,19.59
Chad,2010s,15.7
Chile,2010s,32.76
China,2010s,35.12
Colombia,2010s,27.4
Comoros,2010s,19.08
Congo,2010s,18.81
Costa Rica,2010s,29.29
Croatia,2010s,42.38
Cuba,2010s,39.57
Cyprus,2010s,34.88
Czech Republic,2010s,40.07
Côte dIvoire,2010s,18.96
Democratic People's Republic of Korea,2010s,33.4
Democratic Republic of the Congo,2010s,17.27
Denmark,2010s,40.95
Djibouti,2010s,22.55
Dominican Republic,2010s,25.53
Ecuador,2010s,25.83
Egypt,2010s,24.93
El Salvador,2010s,23.78
Equatorial Guinea,2010s,20.49
Eritrea,2010s,18.37
Estonia,2010s,40.78
Ethiopia,2010s,17.93
Fiji,2010s,26.88
Finland,2010s,42.24
France,2010s,40.43
Gabon,2010s,20.66
Gambia,2010s,16.95
Georgia,2010s,37.43
Germany,2010s,45.09
Ghana,2010s,20.45
Greece,2010s,42.47
Grenada,2010s,25.89
Guatemala,2010s,19.19
Guinea,2010s,18.53
Guinea-Bissau,2010s,18.97
Guyana,2010s,22.36
Haiti,2010s,21.99
Honduras,2010s,21.57
Hungary,2010s,40.35
Iceland,2010s,35.3
India,2010s,26.07
Indonesia,2010s,27.47
Iran (Islamic Republic of),2010s,27.99
Iraq,2010s,19.5
Ireland,2010s,34.94
Israel,2010s,30.1
Italy,2010s,43.99
Jamaica,2010s,27.5
Japan,2010s,45.53
Jordan,2010s,23.06
Kazakhstan,2010s,29.2
Kenya,2010s,18.72
Kiribati,2010s,23.15
Kuwait,2010s,28.95
Kyrgyzstan,2010s,24.34
Lao People's Democratic Republic,2010s,21.02
Latvia,2010s,41.44
Lebanon,2010s,29.4
Lesotho,2010s,20.53
Liberia,2010s,18.43
Libya,2010s,26.25
Lithuania,2010s,39.09
Luxembourg,2010s,39.0
Madagascar,2010s,18.3
Malawi,2010s,17.06
Malaysia,2010s,26.99
Maldives,2010s,24.53
Mali,2010s,16.39
Malta,2010s,40.65
Mauritania,2010s,19.71
Mauritius,2010s,34.18
Mexico,2010s,26.64
Micronesia (Federated States of),2010s,20.73
Mongolia,2010s,26.4
Montenegro,2010s,36.82
Morocco,2010s,26.7
Mozambique,2010s,17.26
Myanmar,2010s,28.62
Namibia,2010s,20.94
Nepal,2010s,22.02
Netherlands,2010s,41.47
New Zealand,2010s,36.85
Nicaragua,2010s,22.74
Niger,2010s,15.04
Nigeria,2010s,17.84
Norway,2010s,38.88
Oman,2010s,25.88
Pakistan,2010s,22.23
Panama,2010s,27.64
Papua New Guinea,2010s,20.72
Paraguay,2010s,23.59
Peru,2010s,26.16
Philippines,2010s,22.74
Poland,2010s,38.55
Portugal,2010s,41.81
Qatar,2010s,31.64
Republic of Korea,2010s,38.85
Republic of Moldova,2010s,35.61
Romania,2010s,39.09
Russian Federation,2010s,38.22
Rwanda,2010s,18.05
Saint Lucia,2010s,30.17
Saint Vincent and the Grenadines,2010s,28.64
Samoa,2010s,20.95
Sao Tome and Principe,2010s,19.13
Saudi Arabia,2010s,27.03
Senegal,2010s,18.01
Serbia,2010s,38.38
Seychelles,2010s,32.26
Sierra Leone,2010s,18.98
Singapore,2010s,37.88
Slovakia,2010s,37.87
Slovenia,2010s,42.1
Solomon Islands,2010s,19.62
Somalia,2010s,16.25
South Africa,2010s,25.7
South Sudan,2010s,18.52
Spain,2010s,40.99
Sri Lanka,2010s,31.12
Sudan,2010s,19.02
Suriname,2010s,28.18
Swaziland,2010s,19.82
Sweden,2010s,40.91
Switzerland,2010s,41.85
Syrian Arab Republic,2010s,22.21
Tajikistan,2010s,21.54
Thailand,2010s,36.42
The former Yugoslav Republic of Macedonia,2010s,36.79
Timor-Leste,2010s,16.4
Togo,2010s,18.82
Tonga,2010s,21.28
Trinidad and Tobago,2010s,32.84
Tunisia,2010s,29.89
Turkey,2010s,29.04
Turkmenistan,2010s,25.26
Uganda,2010s,15.68
Ukraine,2010s,39.62
United Arab Emirates,2010s,29.37
United Kingdom,2010s,40.07
United Republic of Tanzania,2010s,17.49
United States of America,2010s,37.3
Uruguay,2010s,34.16
Uzbekistan,2010s,24.88
Vanuatu,2010s,21.56
Venezuela (Bolivarian Republic of),2010s,26.73
Viet Nam,2010s,29.41
Yemen,2010s,18.78
Zambia,2010s,16.54
Zimbabwe,2010s,19.18
