subregion,year,sex,total
(blank),2001,Female,3
(blank),2001,Male,20
(blank),2002,Female,6
(blank),2002,Male,37
(blank),2003,Female,13
(blank),2003,Male,76
(blank),2004,Female,7
(blank),2004,Male,73
(blank),2005,Female,19
(blank),2005,Male,87
(blank),2006,Female,17
(blank),2006,Male,77
(blank),2007,Female,25
(blank),2007,Male,126
(blank),2008,Female,21
(blank),2008,Male,126
(blank),2009,Female,38
(blank),2009,Male,192
(blank),2010,Female,27
(blank),2010,Male,156
(blank),2011,Female,27
(blank),2011,Male,139
(blank),2012,Female,12
(blank),2012,Male,97
(blank),2013,Female,15
(blank),2013,Male,132
(blank),2014,Female,6
(blank),2014,Male,45
(blank),2015,Female,12
(blank),2015,Male,47
(blank),2016,Female,10
(blank),2016,Male,32
(blank),2017,Female,8
(blank),2017,Male,30
(blank),2018,Female,13
(blank),2018,Male,35
(blank),2019,Female,9
(blank),2019,Male,35
(blank),2020,Female,3
(blank),2020,Male,21
Australia and New Zealand,2001,Female,156
Australia and New Zealand,2001,Male,256
Australia and New Zealand,2002,Female,137
Australia and New Zealand,2002,Male,259
Australia and New Zealand,2003,Female,147
Australia and New Zealand,2003,Male,277
Australia and New Zealand,2004,Female,110
Australia and New Zealand,2004,Male,234
Australia and New Zealand,2005,Female,103
Australia and New Zealand,2005,Male,203
Australia and New Zealand,2006,Female,120
Australia and New Zealand,2006,Male,198
Australia and New Zealand,2007,Female,109
Australia and New Zealand,2007,Male,219
Australia and New Zealand,2008,Female,104
Australia and New Zealand,2008,Male,198
Australia and New Zealand,2009,Female,124
Australia and New Zealand,2009,Male,188
Australia and New Zealand,2010,Female,101
Australia and New Zealand,2010,Male,228
Australia and New Zealand,2011,Female,115
Australia and New Zealand,2011,Male,157
Australia and New Zealand,2012,Female,105
Australia and New Zealand,2012,Male,182
Australia and New Zealand,2013,Female,104
Australia and New Zealand,2013,Male,180
Australia and New Zealand,2014,Female,106
Australia and New Zealand,2014,Male,185
Australia and New Zealand,2015,Female,107
Australia and New Zealand,2015,Male,178
Australia and New Zealand,2016,Female,100
Australia and New Zealand,2016,Male,183
Australia and New Zealand,2017,Female,102
Australia and New Zealand,2017,Male,175
Australia and New Zealand,2018,Female,76
Australia and New Zealand,2018,Male,166
Australia and New Zealand,2019,Female,84
Australia and New Zealand,2019,Male,135
Australia and New Zealand,2020,Female,95
Australia and New Zealand,2020,Male,242
Australia and New Zealand,2021,Female,74
Australia and New Zealand,2021,Male,150
Central Asia,2001,Female,76
Central Asia,2001,Male,354
Central Asia,2002,Female,68
Central Asia,2002,Male,318
Central Asia,2003,Female,79
Central Asia,2003,Male,332
Central Asia,2004,Female,94
Central Asia,2004,Male,326
Central Asia,2005,Female,88
Central Asia,2005,Male,330
Central Asia,2006,Female,106
Central Asia,2006,Male,385
Central Asia,2007,Female,129
Central Asia,2007,Male,511
Central Asia,2008,Female,130
Central Asia,2008,Male,417
Central Asia,2009,Female,488
Central Asia,2009,Male,1836
Central Asia,2010,Female,571
Central Asia,2010,Male,1715
Central Asia,2011,Female,367
Central Asia,2011,Male,1201
Central Asia,2012,Female,346
Central Asia,2012,Male,1200
Central Asia,2013,Female,276
Central Asia,2013,Male,990
Central Asia,2014,Female,280
Central Asia,2014,Male,840
Central Asia,2015,Female,204
