Country,decade,total
Afghanistan,decade,47
Albania,decade,63
Algeria,decade,61
Andorra,decade,70
Angola,decade,41
Antigua and Barbuda,decade,64
Argentina,decade,65
Armenia,decade,62
Australia,decade,71
Austria,decade,70
Azerbaijan,decade,60
Bahamas,decade,63
Bahrain,decade,64
Bangladesh,decade,57
Barbados,decade,65
Belarus,decade,62
Belgium,decade,69
Belize,decade,62
Benin,decade,48
Bhutan,decade,55
Bolivia (Plurinational State of),decade,57
Bosnia and Herzegovina,decade,67
Botswana,decade,47
Brazil,decade,62
Brunei Darussalam,decade,68
Bulgaria,decade,64
Burkina Faso,decade,46
Burundi,decade,44
Cabo Verde,decade,61
Cambodia,decade,56
Cameroon,decade,46
Canada,decade,71
Central African Republic,decade,40
Chad,decade,41
Chile,decade,68
China,decade,66
Colombia,decade,66
Comoros,decade,52
Congo,decade,47
Cook Islands,decade,63
Costa Rica,decade,68
Croatia,decade,66
Cuba,decade,66
Cyprus,decade,72
Czech Republic,decade,67
Côte dIvoire,decade,43
Democratic People's Republic of Korea,decade,60
Democratic Republic of the Congo,decade,42
Denmark,decade,69
Djibouti,decade,50
Dominica,decade,63
Dominican Republic,decade,64
Ecuador,decade,64
Egypt,decade,60
El Salvador,decade,61
Equatorial Guinea,decade,45
Eritrea,decade,46
Estonia,decade,64
Ethiopia,decade,49
Fiji,decade,59
Finland,decade,69
France,decade,70
Gabon,decade,52
Gambia,decade,50
Georgia,decade,64
Germany,decade,70
Ghana,decade,51
Greece,decade,70
Grenada,decade,63
Guatemala,decade,60
Guinea,decade,46
Guinea-Bissau,decade,45
Guyana,decade,55
Haiti,decade,49
Honduras,decade,62
Hungary,decade,64
Iceland,decade,71
India,decade,55
Indonesia,decade,60
Iran (Islamic Republic of),decade,62
Iraq,decade,60
Ireland,decade,69
Israel,decade,70
Italy,decade,71
Jamaica,decade,63
Japan,decade,74
Jordan,decade,63
Kazakhstan,decade,57
Kenya,decade,49
Kiribati,decade,56
Kuwait,decade,66
Kyrgyzstan,decade,59
Lao People's Democratic Republic,decade,54
Latvia,decade,63
Lebanon,decade,67
Lesotho,decade,42
Liberia,decade,47
Libya,decade,62
Lithuania,decade,64
Luxembourg,decade,70
Madagascar,decade,52
Malawi,decade,44
Malaysia,decade,63
Maldives,decade,62
Mali,decade,44
Malta,decade,69
Marshall Islands,decade,58
Mauritania,decade,51
Mauritius,decade,63
Mexico,decade,66
Micronesia (Federated States of),decade,58
Monaco,decade,71
Mongolia,decade,57
Montenegro,decade,65
Morocco,decade,59
Mozambique,decade,43
Myanmar,decade,55
Namibia,decade,53
Nauru,decade,65
Nepal,decade,56
Netherlands,decade,69
New Zealand,decade,70
Nicaragua,decade,63
Niger,decade,46
Nigeria,decade,43
Niue,decade,63
Norway,decade,70
Oman,decade,64
Pakistan,decade,55
Palau,decade,61
Panama,decade,66
Papua New Guinea,decade,51
Paraguay,decade,64
Peru,decade,64
Philippines,decade,59
Poland,decade,66
Portugal,decade,69
Qatar,decade,66
Republic of Korea,decade,70
Republic of Moldova,decade,61
Romania,decade,64
Russian Federation,decade,59
Rwanda,decade,47
Saint Kitts and Nevis,decade,62
Saint Lucia,decade,63
Saint Vincent and the Grenadines,decade,62
Samoa,decade,62
San Marino,decade,72
Sao Tome and Principe,decade,55
Saudi Arabia,decade,63
Senegal,decade,51
Serbia,decade,64
Seychelles,decade,66
Sierra Leone,decade,36
Singapore,decade,73
Slovakia,decade,65
Slovenia,decade,68
Solomon Islands,decade,57
Somalia,decade,44
South Africa,decade,51
South Sudan,decade,44
Spain,decade,71
Sri Lanka,decade,63
Sudan,decade,51
Suriname,decade,64
Swaziland,decade,43
Sweden,decade,71
Switzerland,decade,71
Syrian Arab Republic,decade,61
Tajikistan,decade,57
Thailand,decade,63
The former Yugoslav Republic of Macedonia,decade,65
Timor-Leste,decade,53
Togo,decade,48
Tonga,decade,61
Trinidad and Tobago,decade,60
Tunisia,decade,65
Turkey,decade,62
Turkmenistan,decade,55
Tuvalu,decade,56
Uganda,decade,44
Ukraine,decade,61
United Arab Emirates,decade,65
United Kingdom,decade,69
United Republic of Tanzania,decade,47
United States of America,decade,68
Uruguay,decade,66
Uzbekistan,decade,59
Vanuatu,decade,60
Venezuela (Bolivarian Republic of),decade,65
Viet Nam,decade,64
Yemen,decade,52
Zambia,decade,42
Zimbabwe,decade,43
