Country,HomicideTotal
Afghanistan,15860
Albania,2456
Algeria,4995
American Samoa,56
Andorra,5
Angola,2272
Anguilla,27
Antigua and Barbuda,108
Argentina,49777
Armenia,1473
Aruba,56
Australia,5507
Austria,1312
Azerbaijan,3168
Bahamas,1827
Bahrain,104
Bangladesh,73816
Barbados,544
Belarus,7770
Belgium,813
Belize,2206
Bermuda,73
Bhutan,319
Bolivia (Plurinational State of),3337
Bosnia and Herzegovina,1030
Botswana,2744
Brazil,1092527
British Virgin Islands,10
Brunei Darussalam,29
Bulgaria,3460
Burkina Faso,1894
Burundi,2180
Cabo Verde,487
Cambodia,4527
Cameroon,7781
Canada,12653
Cayman Islands,51
Channel Islands,4
Chile,9696
China,241303
China Hong Kong SAR,781
China Macao SAR,83
China Taiwan Province of China,1800
Colombia,361639
Cook Islands,0
Costa Rica,8866
Croatia,1198
Cuba,9588
Curaçao,203
Cyprus,251
Czechia,2192
Denmark,783
Dominica,184
Dominican Republic,36073
Ecuador,29370
Egypt,11172
El Salvador,75120
Estonia,1165
Eswatini,2580
Ethiopia,8153
Fiji,279
Finland,2289
France,18236
French Guiana,235
French Polynesia,20
Georgia,3104
Germany,18719
Ghana,7965
Gibraltar,1
Greece,2309
Greenland,140
Grenada,206
Guadeloupe,346
Guam,68
Guatemala,85638
Guinea-Bissau,85
Guyana,2847
Haiti,9067
Holy See,0
Honduras,96072
Hungary,3513
Iceland,41
India,943022
Indonesia,5258
Iran (Islamic Republic of),7983
Ireland,915
Isle of Man,9
Israel,2844
Italy,9988
Jamaica,25131
Japan,10214
Jordan,1695
Kazakhstan,22583
Kenya,28260
Kiribati,38
Kosovo under UNSCR 1244,736
Kuwait,546
Kyrgyzstan,7497
Latvia,1280
Lebanon,2523
Lesotho,5319
Liberia,747
Liechtenstein,7
Lithuania,4613
Luxembourg,94
Malawi,4731
Malaysia,7996
Maldives,110
Malta,110
Martinique,112
Mauritius,323
Mayotte,44
Mexico,409050
Micronesia (Federated States of),1
Monaco,1
Mongolia,4444
Montenegro,282
Montserrat,4
Morocco,10257
Mozambique,9588
Myanmar,16260
Namibia,3486
Nepal,11359
Netherlands,2945
New Caledonia,39
New Zealand,999
Nicaragua,12471
Niger,1619
North Macedonia,722
Norway,731
Oman,715
Pakistan,204366
Palau,5
Panama,9083
Papua New Guinea,5726
Paraguay,16829
Peru,17260
Philippines,94466
Poland,6510
Portugal,657
Puerto Rico,15586
Qatar,84
Republic of Korea,8165
Republic of Moldova,4851
Romania,7724
Russian Federation,496314
Rwanda,2358
Réunion,124
Saint Helena,1
Saint Kitts and Nevis,287
Saint Lucia,755
Saint Martin (French part),42
Saint Pierre and Miquelon,2
Saint Vincent and the Grenadines,381
Samoa,58
San Marino,1
Sao Tome and Principe,39
Saudi Arabia,2564
Senegal,39
Serbia,2825
Seychelles,155
Sierra Leone,1375
Singapore,384
Slovakia,1778
Slovenia,380
Solomon Islands,114
South Africa,378538
South Sudan,1504
Spain,8694
Sri Lanka,10486
State of Palestine,792
Suriname,764
Sweden,2024
Switzerland,823
Syrian Arab Republic,8173
Tajikistan,1976
Thailand,53973
Timor-Leste,335
Tonga,53
Trinidad and Tobago,7581
Tunisia,3263
Turkey,38081
Turkmenistan,1607
Turks and Caicos Islands,14
Tuvalu,4
Uganda,50872
Ukraine,44356
United Arab Emirates,429
United Kingdom,2988
United Republic of Tanzania,28715
United States Virgin Islands,532
United States of America,294242
Uruguay,4743
Uzbekistan,11273
Vanuatu,3
Venezuela (Bolivarian Republic of),220617
Viet Nam,11491
Yemen,8830
Zambia,7410
Zimbabwe,9982
