Country,decade,total
ALGERIA,1990s,4573.0
ALGERIA,2000s,13701.0
ALGERIA,2010s,36312.0
ALGERIA,2020s,344.0
ANGOLA,1990s,6.0
ARGENTINA,1990s,22006.0
ARGENTINA,2000s,41263.0
ARGENTINA,2010s,86044.0
ARGENTINA,2020s,833.0
ARMENIA,2000s,2850.0
ARMENIA,2010s,12293.0
ARMENIA,2020s,423.0
AUSTRIA,2000s,88821.0
AUSTRIA,2010s,112943.0
AUSTRIA,2020s,7522.0
AZERBAIJAN,2000s,4761.0
AZERBAIJAN,2010s,32376.0
BAHRAIN,2010s,10796.0
BANGLADESH,1990s,4702.0
BANGLADESH,2000s,15382.0
BANGLADESH,2010s,9337.0
BELARUS,1990s,4133.0
BELARUS,2000s,8045.0
BELARUS,2010s,6574.0
BELARUS,2020s,477.0
BELGIUM,1990s,27379.0
BELGIUM,2000s,80538.0
BELGIUM,2010s,128789.0
BELGIUM,2020s,8593.0
BERMUDA,2000s,1286.0
BHUTAN,2010s,41.0
BOLIVIA PLURINATIONAL STATE OF,1990s,1355.0
BOLIVIA PLURINATIONAL STATE OF,2000s,3781.0
BOLIVIA PLURINATIONAL STATE OF,2010s,9490.0
BOLIVIA PLURINATIONAL STATE OF,2020s,376.0
BRAZIL,1990s,17445.0
BRAZIL,2000s,36507.0
BRAZIL,2010s,80832.0
BRITISH VIRGIN ISLANDS,1990s,79.0
BULGARIA,1990s,14557.0
BULGARIA,2000s,39190.0
BULGARIA,2010s,52608.0
BULGARIA,2020s,4094.0
BURUNDI,1990s,124.0
BURUNDI,2000s,63.0
CAMBODIA,1990s,204.0
CAMBODIA,2000s,3899.0
CAMBODIA,2010s,12574.0
CAMBODIA,2020s,31.0
CANADA,1990s,92306.0
CANADA,2000s,214811.0
CANADA,2010s,312193.0
CANADA,2020s,5684.0
CENTRAL AFRICAN REPUBLIC,2000s,37.0
CENTRAL AFRICAN REPUBLIC,2010s,38.0
CHAD,2000s,90.0
CHILE,2000s,16105.0
CHILE,2010s,32528.0
CHILE,2020s,514.0
CHINA,1990s,32563.0
CHINA,2000s,288287.0
CHINA,2010s,1156307.0
COLOMBIA,1990s,5248.0
COLOMBIA,2000s,14220.0
COLOMBIA,2010s,37345.0
COLOMBIA,2020s,3004.0
CONGO DEMOCRATIC REPUBLIC OF THE,1990s,100.0
CONGO DEMOCRATIC REPUBLIC OF THE,2010s,780.0
COOK ISLANDS,1990s,37.0
COOK ISLANDS,2000s,113.0
COOK ISLANDS,2010s,133.0
COOK ISLANDS,2020s,5.0
COSTA RICA,1990s,1527.0
COSTA RICA,2000s,4560.0
COSTA RICA,2010s,9401.0
COSTA RICA,2020s,588.0
CROATIA,2000s,4854.0
CROATIA,2010s,24045.0
CROATIA,2020s,639.0
CUBA,1990s,418.0
CUBA,2000s,1571.0
CUBA,2010s,4255.0
CUBA,2020s,244.0
CZECH REPUBLIC (CZECHIA),2000s,54829.0
CZECH REPUBLIC (CZECHIA),2010s,66596.0
CZECH REPUBLIC (CZECHIA),2020s,1161.0
DENMARK,1990s,19260.0
DENMARK,2000s,56632.0
DENMARK,2010s,86442.0
DENMARK,2020s,3182.0
DOMINICAN REPUBLIC,1990s,1598.0
DOMINICAN REPUBLIC,2000s,3822.0
DOMINICAN REPUBLIC,2010s,4802.0
DOMINICAN REPUBLIC,2020s,556.0
ECUADOR,1990s,1583.0
ECUADOR,2000s,6752.0
ECUADOR,2010s,12536.0
ECUADOR,2020s,868.0
EGYPT,1990s,13957.0
EGYPT,2000s,28060.0
EL SALVADOR,2010s,12681.0
EL SALVADOR,2020s,801.0
ESTONIA,1990s,8366.0
ESTONIA,2000s,9941.0
ESTONIA,2010s,13945.0
ESTONIA,2020s,575.0
ESWATINI,2000s,5706.0
ESWATINI,2010s,16217.0
ESWATINI,2020s,295.0
ETHIOPIA,1990s,253.0
FIJI,1990s,381.0
FIJI,2000s,1064.0
FIJI,2010s,1105.0
FIJI,2020s,14.0
FINLAND,1990s,25355.0
FINLAND,2000s,58071.0
FINLAND,2010s,88804.0
FINLAND,2020s,1810.0
FRANCE,1990s,88738.0
FRANCE,2000s,220642.0
FRANCE,2010s,285533.0
FRANCE,2020s,13681.0
FRENCH POLYNESIA,1990s,128.0
FRENCH POLYNESIA,2000s,88.0
FRENCH POLYNESIA,2010s,584.0
GABON,1990s,390.0
GABON,2000s,812.0
GAMBIA,2000s,694.0
GEORGIA,1990s,1608.0
GEORGIA,2000s,8932.0
GEORGIA,2010s,31248.0
GERMANY,1990s,203100.0
GERMANY,2000s,834925.0
GERMANY,2010s,898940.0
GHANA,2010s,1092.0
GREECE,2000s,7600.0
GREECE,2010s,63161.0
GREECE,2020s,2026.0
GUATEMALA,2000s,562.0
GUATEMALA,2010s,9276.0
GUATEMALA,2020s,414.0
HONDURAS,1990s,931.0
HONDURAS,2000s,3080.0
HONDURAS,2010s,4691.0
HUNGARY,2000s,30562.0
HUNGARY,2010s,68954.0
HUNGARY,2020s,4358.0
ICELAND,1990s,1043.0
ICELAND,2000s,2220.0
ICELAND,2010s,4777.0
ICELAND,2020s,219.0
INDIA,1990s,18172.0
INDIA,2000s,72727.0
INDIA,2010s,203555.0
INDIA,2020s,8551.0
INDONESIA,2020s,503.0
IRAN ISLAMIC REPUBLIC OF,1990s,7197.0
IRAN ISLAMIC REPUBLIC OF,2000s,7607.0
IRAN ISLAMIC REPUBLIC OF,2020s,2402.0
ISRAEL,1990s,13657.0
ISRAEL,2000s,37038.0
ISRAEL,2010s,62408.0
ISRAEL,2020s,3022.0
ITALY,1990s,70486.0
ITALY,2000s,236666.0
ITALY,2010s,304938.0
ITALY,2020s,12354.0
