Country or Area,Year(s),WEALTH QUINTILE,Value
Albania,2008,,22.4
Albania,2008,,15.5
Albania,2008,Q1 (Poorest),29.1
Albania,2008,Q2,9.8
Albania,2008,Q3,23
Albania,2008,Q4,17.5
Albania,2008,Q5 (Richest),13.3
Albania,2008,,12.4
Albania,2008,,23.5
Albania,2008,,21.1
Albania,2008,,15.7
Armenia,2010,,17
Armenia,2010,,20.3
Armenia,2010,Q1 (Poorest),21
Armenia,2010,Q2,21.4
Armenia,2010,Q3,17.3
Armenia,2010,Q4,12
Armenia,2010,Q5 (Richest),20.7
Armenia,2010,,16.3
Armenia,2010,,22
Armenia,2010,,18.6
Armenia,2005,Q1 (Poorest),40.1
Armenia,2005,Q2,25.8
Armenia,2005,Q3,23.1
Armenia,2005,Q4,31.1
Armenia,2005,Q5 (Richest),13.4
Armenia,2005,,29
Armenia,2005,,25.4
Armenia,2005,,27.6
Armenia,2005,,24.8
Armenia,2005,,30.8
Armenia,2000,,44
Armenia,2000,,35.1
Armenia,2000,,53
Armenia,2000,,45.3
Armenia,2000,,42.1
Armenia,2000,Q1 (Poorest),52.9
Armenia,2000,Q2,50.5
Armenia,2000,Q3,36.8
Armenia,2000,Q4,47.7
Armenia,2000,Q5 (Richest),26.1
Azerbaijan,2006,,54.9
Azerbaijan,2006,,41
Azerbaijan,2006,Q1 (Poorest),52.3
Azerbaijan,2006,Q2,59.4
Azerbaijan,2006,Q3,52
Azerbaijan,2006,Q4,39.1
Azerbaijan,2006,Q5 (Richest),34.1
Azerbaijan,2006,,45.2
Azerbaijan,2006,,52
Azerbaijan,2006,,48.4
Bangladesh,2007,,60.7
Bangladesh,2007,,53.2
Bangladesh,2007,,50.5
Bangladesh,2007,,58.7
Bangladesh,2007,,70.7
Bangladesh,2007,,58.2
Bangladesh,2007,,41.3
Bangladesh,2007,Q1 (Poorest),66.2
Bangladesh,2007,Q2,67.1
Bangladesh,2007,Q3,62.4
Bangladesh,2007,Q4,46.1
Bangladesh,2007,Q5 (Richest),35.9
Bangladesh,2004,,72.3
Bangladesh,2004,,71.9
Bangladesh,2004,,81.3
Bangladesh,2004,,72.7
Bangladesh,2004,,53.5
Bangladesh,2004,,79.6
Bangladesh,2004,,64
Bangladesh,2004,Q1 (Poorest),89.4
Bangladesh,2004,Q2,65.8
Bangladesh,2004,Q3,74.6
Bangladesh,2004,Q4,58.7
Bangladesh,2004,Q5 (Richest),63.8
Bangladesh,1999,,74.3
Bangladesh,1999,,80.5
Bangladesh,1999,,92
Bangladesh,1999,,74
Bangladesh,1999,,54.8
Bangladesh,1999,,81.8
Bangladesh,1999,,77.1
Bangladesh,1999,Q1 (Poorest),92.2
Bangladesh,1999,Q2,93.8
Bangladesh,1999,Q3,78.1
Bangladesh,1999,Q4,63.1
Bangladesh,1999,Q5 (Richest),57.3
Bangladesh,1996,,94.5
Bangladesh,1996,,84
Bangladesh,1996,,72.5
Bangladesh,1996,,90.9
Bangladesh,1996,Q1 (Poorest),95.1
Bangladesh,1996,Q2,98.4
Bangladesh,1996,Q3,96.8
Bangladesh,1996,Q4,88.8
Bangladesh,1996,Q5 (Richest),56.7
Bangladesh,1996,,97.5
Bangladesh,1996,,82.4
Bangladesh,1996,,64.6
Bangladesh,1993,,107.2
Bangladesh,1993,,92.7
Bangladesh,1993,,80
Bangladesh,1993,,102.2
Bangladesh,1993,Q1 (Poorest),114.6
Bangladesh,1993,Q2,117.4
Bangladesh,1993,Q3,93.3
Bangladesh,1993,Q4,91.7
Bangladesh,1993,Q5 (Richest),70.3
Bangladesh,1993,,112.9
Bangladesh,1993,,88.4
Bangladesh,1993,,57.2
Benin,2006,,78.8
Benin,2006,,72.6
Benin,2006,,51.5
Benin,2006,,65.5
Benin,2006,,81.4
Benin,2006,Q1 (Poorest),80
Benin,2006,Q2,83
Benin,2006,Q3,80.2
Benin,2006,Q4,78.1
Benin,2006,Q5 (Richest),52.3
Benin,2006,,80.4
Benin,2006,,71.8
Benin,2001,,97.8
Benin,2001,,92.3
Benin,2001,Q1 (Poorest),112
Benin,2001,Q2,108.9
Benin,2001,Q3,106.1
Benin,2001,Q4,78.4
Benin,2001,Q5 (Richest),49.7
Benin,2001,,72.9
Benin,2001,,104.8
Benin,2001,,100.3
Benin,2001,,88.2
Benin,2001,,53
Benin,1996,,108.4
Benin,1996,,93.8
Benin,1996,,49.5
Benin,1996,Q1 (Poorest),119.4
Benin,1996,Q2,111
Benin,1996,Q3,105.9
Benin,1996,Q4,103.6
Benin,1996,Q5 (Richest),63.3
Benin,1996,,84
Benin,1996,,112.4
Benin,1996,,109.1
Benin,1996,,97.6
Bolivia (Plurinational State of),2008,,62.3
Bolivia (Plurinational State of),2008,,52.8
Bolivia (Plurinational State of),2008,,106.9
Bolivia (Plurinational State of),2008,,63.9
Bolivia (Plurinational State of),2008,,36
Bolivia (Plurinational State of),2008,,42.6
Bolivia (Plurinational State of),2008,,74.2
Bolivia (Plurinational State of),2008,Q1 (Poorest),88.7
Bolivia (Plurinational State of),2008,Q2,64.4
Bolivia (Plurinational State of),2008,Q3,48.1
Bolivia (Plurinational State of),2008,Q4,37.1
Bolivia (Plurinational State of),2008,Q5 (Richest),26.3
Bolivia (Plurinational State of),2003,,102.4
Bolivia (Plurinational State of),2003,,74.1
Bolivia (Plurinational State of),2003,,39.2
Bolivia (Plurinational State of),2003,,71.2
Bolivia (Plurinational State of),2003,,64.3
Bolivia (Plurinational State of),2003,,57.4
Bolivia (Plurinational State of),2003,,81.2
Bolivia (Plurinational State of),2003,Q1 (Poorest),87.3
Bolivia (Plurinational State of),2003,Q2,81.7
Bolivia (Plurinational State of),2003,Q3,63.4
Bolivia (Plurinational State of),2003,Q4,50.7
Bolivia (Plurinational State of),2003,Q5 (Richest),32.6
Bolivia (Plurinational State of),1998,,111.9
Bolivia (Plurinational State of),1998,,86.7
Bolivia (Plurinational State of),1998,,40.8
Bolivia (Plurinational State of),1998,,77.4
Bolivia (Plurinational State of),1998,,68.9
Bolivia (Plurinational State of),1998,,52.9
Bolivia (Plurinational State of),1998,,99.5
Bolivia (Plurinational State of),1998,Q1 (Poorest),106.4
Bolivia (Plurinational State of),1998,Q2,84.4
Bolivia (Plurinational State of),1998,Q3,76.1
Bolivia (Plurinational State of),1998,Q4,37.3
Bolivia (Plurinational State of),1998,Q5 (Richest),25.7
Bolivia (Plurinational State of),1994,,90.9
Bolivia (Plurinational State of),1994,,82.3
Bolivia (Plurinational State of),1994,Q1 (Poorest),116
Bolivia (Plurinational State of),1994,Q2,95.7
Bolivia (Plurinational State of),1994,Q3,92.9
Bolivia (Plurinational State of),1994,Q4,63.5
Bolivia (Plurinational State of),1994,Q5 (Richest),38
Bolivia (Plurinational State of),1994,,122.7
Bolivia (Plurinational State of),1994,,99.6
Bolivia (Plurinational State of),1994,,48.3
Bolivia (Plurinational State of),1994,,68.7
Bolivia (Plurinational State of),1994,,106
Brazil,1996,,50.8
Brazil,1996,,44.2
Brazil,1996,,41.6
Brazil,1996,,65.3
Brazil,1996,Q1 (Poorest),83.6
Brazil,1996,Q2,46.2
Brazil,1996,Q3,31.2
Brazil,1996,Q4,24
Brazil,1996,Q5 (Richest),27.8
Brazil,1996,,90.7
Brazil,1996,,57.8
Brazil,1996,,31.6
Burkina Faso,2003,Q1 (Poorest),97.2
Burkina Faso,2003,Q2,108.7
Burkina Faso,2003,Q3,81.9
Burkina Faso,2003,Q4,93.2
Burkina Faso,2003,Q5 (Richest),77.8
Burkina Faso,2003,,70.3
Burkina Faso,2003,,95.1
Burkina Faso,2003,,95.3
Burkina Faso,2003,,88.6
Burkina Faso,2003,,94.2
Burkina Faso,2003,,72.8
Burkina Faso,2003,,73.4
Burkina Faso,1998,Q1 (Poorest),107.6
Burkina Faso,1998,Q2,118.8
Burkina Faso,1998,Q3,116.7
Burkina Faso,1998,Q4,118.8
Burkina Faso,1998,Q5 (Richest),74.2
Burkina Faso,1998,,66.7
Burkina Faso,1998,,113.6
Burkina Faso,1998,,116.4
Burkina Faso,1998,,101.2
Burkina Faso,1998,,110.5
Burkina Faso,1998,,94.2
Cambodia,2010,,66.1
Cambodia,2010,,48
Cambodia,2010,,71.9
Cambodia,2010,,61.6
Cambodia,2010,,31
Cambodia,2010,,21.9
Cambodia,2010,,63.6
Cambodia,2010,Q1 (Poorest),76.9
Cambodia,2010,Q2,70.2
Cambodia,2010,Q3,60.9
Cambodia,2010,Q4,38.2
Cambodia,2010,Q5 (Richest),22.7
Cambodia,2005,,65.1
Cambodia,2005,,91.4
Cambodia,2005,,96.8
Cambodia,2005,,78.8
Cambodia,2005,,110.4
Cambodia,2005,,89.2
Cambodia,2005,,44.9
Cambodia,2005,Q1 (Poorest),100.2
Cambodia,2005,Q2,108
Cambodia,2005,Q3,97.3
Cambodia,2005,Q4,78.4
Cambodia,2005,Q5 (Richest),34.6
Cambodia,2000,,72.9
Cambodia,2000,,95.7
Cambodia,2000,,102.8
Cambodia,2000,,93.5
Cambodia,2000,,60.2
Cambodia,2000,,102.9
Cambodia,2000,,82.3
Cambodia,2000,Q1 (Poorest),109.6
Cambodia,2000,Q2,108.7
Cambodia,2000,Q3,88.1
Cambodia,2000,Q4,89
Cambodia,2000,Q5 (Richest),49.8
Cameroon,2004,,87.8
Cameroon,2004,,74.2
Cameroon,2004,Q1 (Poorest),100.2
Cameroon,2004,Q2,91.1
Cameroon,2004,Q3,83
Cameroon,2004,Q4,62.9
Cameroon,2004,Q5 (Richest),51.1
Cameroon,2004,,94.1
Cameroon,2004,,84.5
Cameroon,2004,,58.6
Cameroon,2004,,67.5
Cameroon,2004,,91.2
Cameroon,1998,,104.3
Cameroon,1998,,74.6
Cameroon,1998,,50
Cameroon,1998,,85.2
Cameroon,1998,,75.1
Cameroon,1998,,61.7
Cameroon,1998,,87.1
Cameroon,1998,Q1 (Poorest),108.8
Cameroon,1998,Q2,87.3
Cameroon,1998,Q3,72.2
Cameroon,1998,Q4,58.9
Cameroon,1998,Q5 (Richest),56.4
Central African Republic,1994,,80
Central African Republic,1994,,116.1
Central African Republic,1994,,113.9
Central African Republic,1994,,100.5
Central African Republic,1994,,52.1
Central African Republic,1994,Q1 (Poorest),131.3
Central African Republic,1994,Q2,117.1
Central African Republic,1994,Q3,100.3
Central African Republic,1994,Q4,97.7
Central African Republic,1994,Q5 (Richest),53.1
Central African Republic,1994,,108.7
Central African Republic,1994,,94.5
Chad,2004,,116
Chad,2004,,122.1
Chad,2004,,66.5
Chad,2004,Q1 (Poorest),109.5
Chad,2004,Q2,122.8
Chad,2004,Q3,118
Chad,2004,Q4,123.4
Chad,2004,Q5 (Richest),99.8
Chad,2004,,122.9
Chad,2004,,107.8
Chad,2004,,94
Chad,2004,,120.3
Chad,1996,,112.9
Chad,1996,,102
Chad,1996,,75.8
Chad,1996,Q1 (Poorest),80.4
Chad,1996,Q2,136.8
Chad,1996,Q3,119.9
Chad,1996,Q4,115.6
Chad,1996,Q5 (Richest),89.8
Chad,1996,,99.4
Chad,1996,,113.2
Chad,1996,,120
Chad,1996,,100.2
Colombia,2010,,19.9
Colombia,2010,,15.9
Colombia,2010,Q1 (Poorest),21.6
Colombia,2010,Q2,18.6
Colombia,2010,Q3,17.4
Colombia,2010,Q4,17.1
Colombia,2010,Q5 (Richest),12
Colombia,2010,,18.1
Colombia,2010,,17.6
Colombia,2010,,38
Colombia,2010,,22
Colombia,2010,,15.3
Colombia,2005,,26.3
Colombia,2005,,17.9
Colombia,2005,,43.8
Colombia,2005,,27.4
Colombia,2005,,17.4
Colombia,2005,Q1 (Poorest),32
Colombia,2005,Q2,24
Colombia,2005,Q3,20.8
Colombia,2005,Q4,14.1
Colombia,2005,Q5 (Richest),14.5
Colombia,2005,,20.4
Colombia,2005,,26.1
Colombia,2000,,42.8
Colombia,2000,,28
Colombia,2000,,19.6
Colombia,2000,,21.2
Colombia,2000,,31
Colombia,2000,Q1 (Poorest),32
Colombia,2000,Q2,31.8
Colombia,2000,Q3,21.8
Colombia,2000,Q4,12
Colombia,2000,Q5 (Richest),17.3
Colombia,2000,,28.4
Colombia,2000,,20.2
Colombia,1995,,28.3
Colombia,1995,,35.3
Colombia,1995,,34.9
Colombia,1995,,26.6
Colombia,1995,Q1 (Poorest),41.1
Colombia,1995,Q2,31.2
Colombia,1995,Q3,26.8
Colombia,1995,Q4,31.6
Colombia,1995,Q5 (Richest),16.3
Colombia,1995,,27.2
Colombia,1995,,36.6
Colombia,1995,,25.6
Comoros,1996,,92.5
Comoros,1996,,74.8
Comoros,1996,,63.8
Comoros,1996,,90
Comoros,1996,Q1 (Poorest),87.2
Comoros,1996,Q2,108.6
Comoros,1996,Q3,83.7
Comoros,1996,Q4,62.6
Comoros,1996,Q5 (Richest),64.6
Comoros,1996,,87.4
Comoros,1996,,78.5
Comoros,1996,,67.1
Congo,2005,,66.2
Congo,2005,,93.1
Congo,2005,Q1 (Poorest),91.6
Congo,2005,Q2,95.9
Congo,2005,Q3,75
Congo,2005,Q4,76.2
Congo,2005,Q5 (Richest),55.6
Congo,2005,,134.8
Congo,2005,,95.1
Congo,2005,,61.8
Congo,2005,,83.4
Congo,2005,,78.1
Côte d’Ivoire,1998,,124.6
Côte d’Ivoire,1998,,94.8
Côte d’Ivoire,1998,,62.5
Côte d’Ivoire,1998,Q1 (Poorest),148.6
Côte d’Ivoire,1998,Q2,120.2
Côte d’Ivoire,1998,Q3,97.1
Côte d’Ivoire,1998,Q4,106.5
Côte d’Ivoire,1998,Q5 (Richest),59.7
Côte d’Ivoire,1998,,84.9
Côte d’Ivoire,1998,,124.9
Côte d’Ivoire,1998,,131.5
Côte d’Ivoire,1998,,92.9
Côte d’Ivoire,1994,,74.6
Côte d’Ivoire,1994,,99.3
Côte d’Ivoire,1994,,98.5
Côte d’Ivoire,1994,,78
Côte d’Ivoire,1994,,60.7
Côte d’Ivoire,1994,,98.9
Côte d’Ivoire,1994,,82.9
Côte d’Ivoire,1994,Q1 (Poorest),117.1
Côte d’Ivoire,1994,Q2,96.2
Côte d’Ivoire,1994,Q3,88.7
Côte d’Ivoire,1994,Q4,79.2
Côte d’Ivoire,1994,Q5 (Richest),62.7
Democratic Republic of the Congo,2007,,74.2
Democratic Republic of the Congo,2007,,107.8
Democratic Republic of the Congo,2007,,98.9
Democratic Republic of the Congo,2007,,90.7
Democratic Republic of the Congo,2007,,135.6
Democratic Republic of the Congo,2007,,91.6
Democratic Republic of the Congo,2007,,68.6
Democratic Republic of the Congo,2007,Q1 (Poorest),112.9
Democratic Republic of the Congo,2007,Q2,105.5
Democratic Republic of the Congo,2007,Q3,95.4
Democratic Republic of the Congo,2007,Q4,92.7
Democratic Republic of the Congo,2007,Q5 (Richest),58
Dominican Republic,2007,Q1 (Poorest),43.1
Dominican Republic,2007,Q2,35
Dominican Republic,2007,Q3,30.5
Dominican Republic,2007,Q4,23
Dominican Republic,2007,Q5 (Richest),25.3
Dominican Republic,2007,,43.9
Dominican Republic,2007,,37.6
Dominican Republic,2007,,26.9
Dominican Republic,2007,,34.4
Dominican Republic,2007,,30.3
Dominican Republic,2007,,32.9
Dominican Republic,2007,,31.5
